,Map,Image No,Rpt No,Weekday,Date,Time,Veh Count,Involvement,Agency,Troop,County,City,Type,Severity,At Street,On Street,Light Cond,Injured,Killed,Injury
2087,Mapped,'2120015943','2012141176 ',Mon,7/23/12,9:06:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST HEATHER LN,RT TT,Daylight,1,0,Probably Injury (Not Apparent)
2088,Mapped,'0120061179','201200030668 ',Mon,7/23/12,21:05:00,2,Passenger,University of MO (columbia),F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,MO 740,MO 763,Dark-Lighted,1,0,Probably Injury (Not Apparent)
2089,Mapped,'2120016131','2012141823 ',Tue,7/24/12,10:05:00,1,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Overturn,Personl Injury,CST GLASCOW DR,CST OLD PLANK RD,Daylight,1,0,Evident Injury (Not Disabling)
2090,Mapped,'0120061168','201200030800 ',Tue,7/24/12,16:20:00,2,Driver Present,University of MO (columbia),F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,PVT VIRGINIA AVE,PVT MONK DR,Daylight,3,0,Disabling Injury
2091,Mapped,'0120061168','201200030800 ',Tue,7/24/12,16:20:00,2,Passenger,University of MO (columbia),F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,PVT VIRGINIA AVE,PVT MONK DR,Daylight,3,0,Disabling Injury
2092,Mapped,'0120061168','201200030800 ',Tue,7/24/12,16:20:00,2,Passenger,University of MO (columbia),F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,PVT VIRGINIA AVE,PVT MONK DR,Daylight,3,0,Probably Injury (Not Apparent)
2093,Mapped,'2120017052','2012142467 ',Wed,7/25/12,6:38:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST BANKS AVE,CST SEXTON RD,Daylight,2,0,Evident Injury (Not Disabling)
2094,Mapped,'2120017052','2012142467 ',Wed,7/25/12,6:38:00,2,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST BANKS AVE,CST SEXTON RD,Daylight,2,0,Evident Injury (Not Disabling)
2095,Mapped,'2120017816','2012142469 ',Wed,7/25/12,6:44:00,1,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Fixed Object,Personl Injury,CST DADS WAY,CST BETHEL ST,Daylight,1,0,Evident Injury (Not Disabling)
2096,Mapped,'0120060791','20123887 ',Thu,7/26/12,15:40:00,2,Passenger,Boone CO SD,F,BOONE,COLUMBIA,Pedalcycle,Personl Injury,RT PP,CRD MEXICO GRAVEL RD,Daylight,2,0,Evident Injury (Not Disabling)
2097,Mapped,'0120060791','20123887 ',Thu,7/26/12,15:40:00,2,Pedalcyclist,Boone CO SD,F,BOONE,COLUMBIA,Pedalcycle,Personl Injury,RT PP,CRD MEXICO GRAVEL RD,Daylight,2,0,Evident Injury (Not Disabling)
2098,Mapped,'2120016735','2012145843 ',Mon,7/30/12,10:36:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST PROVIDENCE RD,CST BROADWAY,Daylight,2,0,Evident Injury (Not Disabling)
2099,Mapped,'2120016735','2012145843 ',Mon,7/30/12,10:36:00,2,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST PROVIDENCE RD,CST BROADWAY,Daylight,2,0,Evident Injury (Not Disabling)
2100,Mapped,'2120016311','2012145984 ',Mon,7/30/12,14:31:00,3,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST OLYMPIC BLVD,RT PP,Daylight,1,0,Evident Injury (Not Disabling)
2101,Mapped,'2120016461','2012146206 ',Mon,7/30/12,20:25:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,RT B,CST WACO RD,Dark-Unlighted,1,0,Disabling Injury
2102,Mapped,'2120016403','2012146436 ',Tue,7/31/12,7:54:00,3,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,IS 70,RT E,Daylight,1,0,Probably Injury (Not Apparent)
2103,Mapped,'2120017870','2012146503 ',Tue,7/31/12,10:27:00,3,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST ROCK QUARRY RD,CST GRINDSTONE PKWY,Daylight,1,0,Evident Injury (Not Disabling)
2104,Mapped,'2120018291','2012146644 ',Tue,7/31/12,14:30:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CRD OAKLAND GRAVEL RD,CST VANDIVER DR,Daylight,1,0,Evident Injury (Not Disabling)
2105,Mapped,'2120017817','2012146747 ',Tue,7/31/12,17:19:00,2,Pedalcyclist,Columbia PD,F,BOONE,COLUMBIA,Pedalcycle,Personl Injury,CST SEVENTH ST,CST PARK AVE,Daylight,2,0,Evident Injury (Not Disabling)
2106,Mapped,'2120017817','2012146747 ',Tue,7/31/12,17:19:00,2,Passenger,Columbia PD,F,BOONE,COLUMBIA,Pedalcycle,Personl Injury,CST SEVENTH ST,CST PARK AVE,Daylight,2,0,Evident Injury (Not Disabling)
2107,Mapped,'2120016405','2012146793 ',Tue,7/31/12,17:50:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST THISTLEDOWN DR,CST BROADWAY,Daylight,1,0,Probably Injury (Not Apparent)
2108,Mapped,'2120018645','2012146994 ',Wed,8/1/12,0:42:00,1,Passenger,Columbia PD,F,BOONE,COLUMBIA,Fixed Object,Personl Injury,CST HINKSON AVE,CST PARIS RD,Dark-Lighted,1,0,Evident Injury (Not Disabling)
2109,Mapped,'2120031138','2012147163 ',Wed,8/1/12,10:14:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST JUNGLE TREE DR,CST RAIN FOREST PKWY,Daylight,1,0,Evident Injury (Not Disabling)
2110,Mapped,'2120016737','2012147436 ',Wed,8/1/12,16:55:00,3,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST FAIRVIEW RD,CST BROADWAY,Daylight,2,0,Probably Injury (Not Apparent)
2111,Mapped,'2120016737','2012147436 ',Wed,8/1/12,16:55:00,3,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST FAIRVIEW RD,CST BROADWAY,Daylight,2,0,Probably Injury (Not Apparent)
2112,Mapped,'2120019567','2012147619 ',Wed,8/1/12,22:10:00,1,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Fixed Object,Personl Injury,MO 740,MO 163,Dark-Lighted,1,0,Probably Injury (Not Apparent)
2113,Mapped,'2120018646','2012148183 ',Thu,8/2/12,18:03:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST GLENWOOD AVE,CST BROADWAY,Daylight,1,0,Evident Injury (Not Disabling)
2114,Mapped,'2120016312','2012148478 ',Fri,8/3/12,1:55:00,1,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Fixed Object,Personl Injury,CST VILLAGE PARK DR,CST NIFONG BLVD,Dark-Unlighted,1,0,Evident Injury (Not Disabling)
2115,Mapped,'2120016906','2012148572 ',Fri,8/3/12,7:56:00,1,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Overturn,Personl Injury,RT PP,US 63C,Daylight,1,0,Evident Injury (Not Disabling)
2116,Mapped,'2120017537','2012148827 ',Fri,8/3/12,13:53:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST POTOMAC DR,CST CORONA RD,Daylight,2,0,Evident Injury (Not Disabling)
2117,Mapped,'2120017537','2012148827 ',Fri,8/3/12,13:53:00,2,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST POTOMAC DR,CST CORONA RD,Daylight,2,0,Evident Injury (Not Disabling)
2118,Mapped,'2120016738','2012150427 ',Mon,8/6/12,11:58:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,US 63C,RP 7724,Daylight,1,0,Evident Injury (Not Disabling)
2119,Mapped,'2120018648','2012151264 ',Tue,8/7/12,17:41:00,3,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST WEST BLVD,MO 740,Daylight,1,0,Probably Injury (Not Apparent)
2120,Mapped,'0120068449','201200032995 ',Thu,8/9/12,14:48:00,2,Driver Present,University of MO (columbia),F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,PVT HOSPITAL DR,MO 763,Daylight,1,0,Evident Injury (Not Disabling)
2121,Mapped,'2120018373','2012153029 ',Fri,8/10/12,9:12:00,2,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST NORWICH DR,CRD ST CHARLES RD,Daylight,1,0,Evident Injury (Not Disabling)
2122,Mapped,'0120068448','201200033211 ',Sat,8/11/12,21:50:00,1,Passenger,University of MO (columbia),F,BOONE,COLUMBIA,Fixed Object,Personl Injury,CST UNIVERSITY AVE,CST HITT ST,Dark-Lighted,1,0,Evident Injury (Not Disabling)
2123,Mapped,'2120019193','2012154271 ',Sun,8/12/12,7:14:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CRD GILLESPIE BRIDGE RD,CST SCOTT BLVD,Daylight,1,0,Evident Injury (Not Disabling)
2124,Mapped,'2120017967','2012154361 ',Sun,8/12/12,12:15:00,1,Passenger,Columbia PD,F,BOONE,COLUMBIA,Fell/Jumped from MV,Personl Injury,CST KEENE ST,SOR 70,Daylight,1,0,Disabling Injury
2125,Mapped,'2120019473','2012155661 ',Tue,8/14/12,11:11:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST BERNADETTE PL,CST BERNADETTE DR,Daylight,2,0,Probably Injury (Not Apparent)
2126,Mapped,'2120019473','2012155661 ',Tue,8/14/12,11:11:00,2,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST BERNADETTE PL,CST BERNADETTE DR,Daylight,2,0,Evident Injury (Not Disabling)
2127,Mapped,'2120018653','2012156284 ',Wed,8/15/12,8:50:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST HICKMAN AVE,MO 163,Daylight,1,0,Probably Injury (Not Apparent)
2128,Mapped,'2120017541','2012157031 ',Wed,8/15/12,9:10:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST BERNADETTE DR,MO 740,Daylight,1,0,Probably Injury (Not Apparent)
2129,Mapped,'0120068445','201200033622 ',Wed,8/15/12,9:27:00,2,Driver Present,University of MO (columbia),F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST BOUCHELLE AVE,MO 763,Daylight,1,0,Evident Injury (Not Disabling)
2130,Mapped,'2120031134','2012156424 ',Wed,8/15/12,12:45:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST AUSTIN AVE,CST GRAND AVE,Daylight,1,0,Probably Injury (Not Apparent)
2131,Mapped,'2120019675','2012157398 ',Thu,8/16/12,17:39:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST PROCTOR DR,CRD CREASY SPRINGS RD,Daylight,1,0,Disabling Injury
2132,Mapped,'2120026862','2012158037 ',Fri,8/17/12,14:09:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST CORPORATE LAKE DR,CST PROVIDENCE RD,Daylight,2,0,Evident Injury (Not Disabling)
2133,Mapped,'2120026862','2012158037 ',Fri,8/17/12,14:09:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST CORPORATE LAKE DR,CST PROVIDENCE RD,Daylight,2,0,Probably Injury (Not Apparent)
2134,Mapped,'2120019838','2012158768 ',Sat,8/18/12,11:12:00,1,Pedestrian,Columbia PD,F,BOONE,COLUMBIA,Pedestrian,Personl Injury,CST FIFTH ST,CST PARK AVE,Daylight,1,0,Evident Injury (Not Disabling)
2135,Mapped,'2120019474','2012159494 ',Sun,8/19/12,13:24:00,1,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Fixed Object,Personl Injury,CST WILLIAM ST,CST BROADWAY,Daylight,1,0,Evident Injury (Not Disabling)
2136,Mapped,'2120018655','2012159779 ',Mon,8/20/12,7:05:00,1,Pedestrian,Columbia PD,F,BOONE,COLUMBIA,Pedestrian,Personl Injury,RT TT,CST ROLLINS RD,Daylight,1,0,Evident Injury (Not Disabling)
2137,Mapped,'2120021331','2012159960 ',Mon,8/20/12,12:03:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,IS 70,MO 763,Daylight,2,0,Probably Injury (Not Apparent)
2138,Mapped,'2120021331','2012159960 ',Mon,8/20/12,12:03:00,2,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,IS 70,MO 763,Daylight,2,0,Probably Injury (Not Apparent)
2139,Mapped,'2120019198','2012160284 ',Mon,8/20/12,20:47:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST COLLEGE,LP 70,Unknown,1,0,Probably Injury (Not Apparent)
2140,Mapped,'2120019475','2012161346 ',Wed,8/22/12,8:10:00,3,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,LP 70,CST PROVIDENCE RD,Daylight,1,0,Evident Injury (Not Disabling)
2141,Mapped,'2120019199','2012161717 ',Wed,8/22/12,16:28:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,MO 763,CST PARIS RD,Daylight,1,0,Probably Injury (Not Apparent)
2142,Mapped,'2120019200','2012161977 ',Wed,8/22/12,23:20:00,1,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Overturn,Personl Injury,RT AC,CST ROCK QUARRY RD,Dark-Unlighted,1,0,Evident Injury (Not Disabling)
2143,Mapped,'0120068434','201200034653 ',Thu,8/23/12,15:50:00,2,Pedalcyclist,University of MO (columbia),F,BOONE,COLUMBIA,Pedalcycle,Personl Injury,CST ROLLINS ST,CST HITT ST,Daylight,1,0,Evident Injury (Not Disabling)
2144,Mapped,'2120018658','2012162534 ',Thu,8/23/12,16:58:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST LAKEVIEW AVE,MO 763,Daylight,1,0,Evident Injury (Not Disabling)
2145,Mapped,'2120020552','2012162698 ',Thu,8/23/12,20:44:00,2,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST SOUTHAMPTON DR,CST PROVIDENCE RD,Dark-Lighted,2,0,Probably Injury (Not Apparent)
2146,Mapped,'2120020552','2012162698 ',Thu,8/23/12,20:44:00,2,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST SOUTHAMPTON DR,CST PROVIDENCE RD,Dark-Lighted,2,0,Probably Injury (Not Apparent)
2147,Mapped,'2120020813','2012162738 ',Thu,8/23/12,22:01:00,2,Pedalcyclist,Columbia PD,F,BOONE,COLUMBIA,Pedalcycle,Personl Injury,CST SMITH ST,CST RANGELINE,Dark-Unknown Lighting,1,0,Evident Injury (Not Disabling)
2148,Mapped,'0120068432','201200034752 ',Fri,8/24/12,8:30:00,2,Driver Present,University of MO (columbia),F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST UNIVERSITY AVE,MO 763,Daylight,1,0,Probably Injury (Not Apparent)
2149,Mapped,'2120018661','2012163816 ',Sat,8/25/12,7:34:00,1,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Fell/Jumped from MV,Personl Injury,CST DEERFIELD DR,CST SMILEY LN,Daylight,1,0,Evident Injury (Not Disabling)
2150,Mapped,'2120020022','2012163857 ',Sat,8/25/12,9:27:00,1,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Fixed Object,Personl Injury,CRD OAKLAND GRAVEL RD,US 63,Daylight,1,0,Evident Injury (Not Disabling)
2151,Mapped,'2120018656','2012160568 ',Sat,8/25/12,9:55:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST AUSTIN AVE,CST GRAND AVE,Daylight,2,0,Probably Injury (Not Apparent)
2152,Mapped,'2120018656','2012160568 ',Sat,8/25/12,9:55:00,2,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST AUSTIN AVE,CST GRAND AVE,Daylight,2,0,Probably Injury (Not Apparent)
2153,Mapped,'2120019677','2012164050 ',Sat,8/25/12,16:27:00,1,Pedestrian,Columbia PD,F,BOONE,COLUMBIA,Pedestrian,Personl Injury,CST KEENE ST,CST I-70 DR SE,Daylight,1,0,Disabling Injury
2154,Mapped,'2120020814','2012164574 ',Sun,8/26/12,14:58:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,RP 7213,IS 70,Daylight,1,0,Evident Injury (Not Disabling)
2155,Mapped,'2120020023','2012165173 ',Mon,8/27/12,15:38:00,1,Pedestrian,Columbia PD,F,BOONE,COLUMBIA,Pedestrian,Personl Injury,CST OLD HWY 63,MO 740,Daylight,1,0,Disabling Injury
2156,Mapped,'2120019374','2012165190 ',Mon,8/27/12,16:02:00,3,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST HIRTH AVE,CST WORLEY ST,Daylight,1,0,Probably Injury (Not Apparent)
2157,Mapped,'2120019840','2012165344 ',Mon,8/27/12,20:54:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST STADIUM BLVD,IS 70,Dark-Unknown Lighting,1,0,Evident Injury (Not Disabling)
2158,Mapped,'0120068427','201200035393 ',Tue,8/28/12,12:32:00,2,Passenger,University of MO (columbia),F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST CURTIS,CST KENTUCKY BLVD,Daylight,1,0,Disabling Injury
2159,Mapped,'2120020309','2012166005 ',Tue,8/28/12,18:49:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST HIGHLAND DR,RT TT,Daylight,1,0,Evident Injury (Not Disabling)
2160,Mapped,'2120019375','2012166523 ',Wed,8/29/12,12:24:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,MO 763,LP 70,Daylight,1,0,Evident Injury (Not Disabling)
2161,Mapped,'2120024188','2012167068 ',Thu,8/30/12,1:16:00,1,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Fixed Object,Personl Injury,PVT MICK DEAVER MEM DR,CST PROVIDENCE RD,Dark-Lighted,1,0,Disabling Injury
2162,Mapped,'2120020815','2012168250 ',Thu,8/30/12,15:50:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST CREEKFRONT WAY,CST VAWTER SCHOOL RD,Daylight,1,0,Probably Injury (Not Apparent)
2163,Mapped,'2120020025','2012167579 ',Thu,8/30/12,17:28:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST SMITH ST,MO 763,Daylight,1,0,Disabling Injury
2164,Mapped,'2120018810','2012167602 ',Thu,8/30/12,17:41:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST TOWNE DR,CST WHITE GATE DR,Daylight,3,0,Probably Injury (Not Apparent)
2165,Mapped,'2120018810','2012167602 ',Thu,8/30/12,17:41:00,2,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST TOWNE DR,CST WHITE GATE DR,Daylight,3,0,Evident Injury (Not Disabling)
2166,Mapped,'2120018810','2012167602 ',Thu,8/30/12,17:41:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST TOWNE DR,CST WHITE GATE DR,Daylight,3,0,Probably Injury (Not Apparent)
2167,Mapped,'2120021914','2012167660 ',Thu,8/30/12,19:23:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST SANDMAN LN,RT AC,Daylight,1,0,Probably Injury (Not Apparent)
2168,Mapped,'2120020424','2012168025 ',Fri,8/31/12,9:05:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CRD PRAIRIEVIEW DR,CRD CREASY SPRINGS RD,Daylight,1,0,Probably Injury (Not Apparent)
2169,Mapped,'0120068275','201200035845 ',Fri,8/31/12,15:14:00,2,Driver Present,University of MO (columbia),F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST MONK DR,CST STADIUM BLVD,Daylight,1,0,Probably Injury (Not Apparent)
2170,Mapped,'2120018905','2012168230 ',Fri,8/31/12,15:47:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST PONDEROSA ST,CST GRINDSTONE PKWY,Daylight,1,0,Evident Injury (Not Disabling)
2171,Mapped,'2120020553','2012168275 ',Fri,8/31/12,16:54:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST FOX TROT DR,CST CARIBOU DR,Daylight,1,0,Probably Injury (Not Apparent)
2172,Mapped,'2120020213','2012168684 ',Sat,9/1/12,2:51:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST GRINDSTONE PKWY,CST BEARFIELD RD,Dark-Lighted,3,0,Probably Injury (Not Apparent)
2173,Mapped,'2120020213','2012168684 ',Sat,9/1/12,2:51:00,2,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST GRINDSTONE PKWY,CST BEARFIELD RD,Dark-Lighted,3,0,Evident Injury (Not Disabling)
2174,Mapped,'2120020213','2012168684 ',Sat,9/1/12,2:51:00,2,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST GRINDSTONE PKWY,CST BEARFIELD RD,Dark-Lighted,3,0,Probably Injury (Not Apparent)
2175,Mapped,'2120019208','2012168938 ',Sat,9/1/12,14:46:00,7,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,RT PP,US 63C,Daylight,6,0,Probably Injury (Not Apparent)
2176,Mapped,'2120019208','2012168938 ',Sat,9/1/12,14:46:00,7,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,RT PP,US 63C,Daylight,6,0,Probably Injury (Not Apparent)
2177,Mapped,'2120019208','2012168938 ',Sat,9/1/12,14:46:00,7,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,RT PP,US 63C,Daylight,6,0,Probably Injury (Not Apparent)
2178,Mapped,'2120019208','2012168938 ',Sat,9/1/12,14:46:00,7,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,RT PP,US 63C,Daylight,6,0,Evident Injury (Not Disabling)
2179,Mapped,'2120019208','2012168938 ',Sat,9/1/12,14:46:00,7,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,RT PP,US 63C,Daylight,6,0,Evident Injury (Not Disabling)
2180,Mapped,'2120019208','2012168938 ',Sat,9/1/12,14:46:00,7,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,RT PP,US 63C,Daylight,6,0,Probably Injury (Not Apparent)
2181,Mapped,'2120020816','2012169724 ',Sun,9/2/12,21:57:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST OLD RTE 63 CONNECTION,CST GRINDSTONE PKWY,Dark-Lighted,2,0,Evident Injury (Not Disabling)
2182,Mapped,'2120020816','2012169724 ',Sun,9/2/12,21:57:00,2,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST OLD RTE 63 CONNECTION,CST GRINDSTONE PKWY,Dark-Lighted,2,0,Evident Injury (Not Disabling)
2183,Mapped,'0120076020','201200036240 ',Mon,9/3/12,20:13:00,2,Driver Present,University of MO (columbia),F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST ROLLINS ST,MO 763,Dark-Lighted,1,0,Probably Injury (Not Apparent)
2184,Mapped,'2120019931','2012170229 ',Mon,9/3/12,21:30:00,2,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,MO 763,CST PARIS RD,Dark-Lighted,1,0,Probably Injury (Not Apparent)
2185,Mapped,'2120020310','2012171446 ',Wed,9/5/12,19:11:00,3,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,LP 70,MO 163,Daylight,1,0,Disabling Injury
2186,Mapped,'2120021062','2012172650 ',Fri,9/7/12,14:59:00,3,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST PARKER ST,CST VANDIVER DR,Daylight,3,0,Probably Injury (Not Apparent)
2187,Mapped,'2120021062','2012172650 ',Fri,9/7/12,14:59:00,3,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST PARKER ST,CST VANDIVER DR,Daylight,3,0,Probably Injury (Not Apparent)
2188,Mapped,'2120021062','2012172650 ',Fri,9/7/12,14:59:00,3,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST PARKER ST,CST VANDIVER DR,Daylight,3,0,Probably Injury (Not Apparent)
2189,Mapped,'2120021063','2012173728 ',Sat,9/8/12,20:35:00,5,Passenger,Columbia PD,F,BOONE,COLUMBIA,Parked Motor Vehicle,Personl Injury,CST CAPEN PARK DR,CST ROCK QUARRY RD,Dark-Unlighted,1,0,Probably Injury (Not Apparent)
2190,Mapped,'2120019678','2012174666 ',Mon,9/10/12,12:10:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,LP 70 WJ,CST I - 70 DR,Daylight,1,0,Probably Injury (Not Apparent)
2191,Mapped,'2120020313','2012174760 ',Mon,9/10/12,14:43:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST WILLIAM ST,CST AMELIA ST,Daylight,1,0,Probably Injury (Not Apparent)
2192,Mapped,'2120020426','2012174864 ',Mon,9/10/12,16:54:00,5,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST WOODRAIL AVE,CST FORUM BLVD,Daylight,2,0,Probably Injury (Not Apparent)
2193,Mapped,'2120020426','2012174864 ',Mon,9/10/12,16:54:00,5,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST WOODRAIL AVE,CST FORUM BLVD,Daylight,2,0,Evident Injury (Not Disabling)
