"","Crash_ID","At_Intersection_Flag","Crash_Date","Crash_Death_Count","Crash_Non.Suspected_Serious_Injury_Count","Crash_Not_Injured_Count","Crash_Possible_Injury_Count","Crash_Severity","Crash_Suspected_Serious_Injury_Count","Crash_Total_Injury_Count","Crash_Unknown_Injury_Count","Street_Name","Street_Number","Driver_Alcohol_Result","Driver_Blood_Alcohol_Content_Test_Result","Driver_Drug_Test_Result","Unit_Death_Count","Unit_Description","Unit_Non.Suspected_Serious_Injury_Count","Unit_Not_Injured_Count","Unit_Possible_Injury_Count","Unit_Suspected_Serious_Injury_Count","Unit_Total_Injury_Count","Unit_Unknown_Injury_Count","Vehicle_Body_Style","Vehicle_Make","Vehicle_Model_Name","Person_Age","Person_Death_Count","Person_Ethnicity","Person_Gender","Person_Injury_Severity","Person_Not_Injured_Count","Person_Possible_Injury_Count","Person_Suspected_Serious_Injury_Count","Person_Total_Injury_Count","Person_Type","Crash_Month","Crash_Year","OBJECTID","District","SHAPE_Leng","SHAPE_Area","ColorFactor","color","geometry"
"1882",14762476,FALSE,"16758",0,0,1,1,"C - POSSIBLE INJURY",0,1,0,"COCONINO DR",3493,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","2",0,"H - HISPANIC","1 - MALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","November",2015,4,"4",240102.385084416,221593816.379782,"4","#33A02C",c(-98.56369668, 29.32604554)
"1883",14764725,TRUE,"16758",0,0,1,0,"A - SUSPECTED SERIOUS INJURY",1,1,0,"SL0353",4098,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,0,1,1,0,"No Data","No Data","No Data","74",0,"H - HISPANIC","2 - FEMALE","A - SUSPECTED SERIOUS INJURY",0,0,1,1,"4 - PEDESTRIAN","November",2015,5,"5",62461.8052920409,84929269.0806112,"5","#FB9A99",c(-98.53415074, 29.37504497)
"1884",14764623,TRUE,"16759",0,1,0,0,"B - SUSPECTED MINOR INJURY",0,1,1,"E TRAVIS ST",398,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,"No Data","No Data","No Data","40",0,"W - WHITE","1 - MALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","November",2015,1,"1",85108.0984010411,100561052.89761,"1","#A6CEE3",c(-98.48851231, 29.42754497)
"1885",14764966,TRUE,"16759",0,0,0,1,"C - POSSIBLE INJURY",0,1,1,"FM2252",12200,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","61",0,"W - WHITE","2 - FEMALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","November",2015,10,"10",116850.777152178,173241729.798576,"10","#6A3D9A",c(-98.40737191, 29.55053987)
"1886",14765231,TRUE,"16759",0,1,1,0,"B - SUSPECTED MINOR INJURY",0,1,0,"IH0035",680,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,"No Data","No Data","No Data","51",0,"H - HISPANIC","1 - MALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","November",2015,1,"1",85108.0984010411,100561052.89761,"1","#A6CEE3",c(-98.50107568, 29.42664982)
"1887",14765722,FALSE,"16760",0,1,1,0,"B - SUSPECTED MINOR INJURY",0,1,0,"N FLORES ST",2206,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,"No Data","No Data","No Data","14",0,"H - HISPANIC","2 - FEMALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","November",2015,1,"1",85108.0984010411,100561052.89761,"1","#A6CEE3",c(-98.50379231, 29.44782609)
"1888",14773522,FALSE,"16760",0,0,1,0,"A - SUSPECTED SERIOUS INJURY",1,1,0,"FREDERICKSBURG RD",3315,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,0,1,1,0,"No Data","No Data","No Data","54",0,"H - HISPANIC","1 - MALE","A - SUSPECTED SERIOUS INJURY",0,0,1,1,"4 - PEDESTRIAN","November",2015,1,"1",85108.0984010411,100561052.89761,"1","#A6CEE3",c(-98.53454799, 29.47299724)
"1889",14766440,TRUE,"16761",0,0,0,1,"C - POSSIBLE INJURY",0,1,1,"FM2536",6000,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","76",0,"H - HISPANIC","2 - FEMALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","November",2015,4,"4",240102.385084416,221593816.379782,"4","#33A02C",c(-98.61478535, 29.34598577)
"1890",14773441,FALSE,"16764",0,1,1,0,"B - SUSPECTED MINOR INJURY",0,1,0,"DENVER BLVD",970,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,"No Data","No Data","No Data","26",0,"W - WHITE","2 - FEMALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","November",2015,2,"2",200377.04154192,205775141.994205,"2","#1F78B4",c(-98.45961164, 29.40488189)
"1891",14773703,TRUE,"16764",0,1,1,0,"B - SUSPECTED MINOR INJURY",0,1,0,"EL PASO ST",4101,"No Data","No Data","No Data",0,"3 - PEDALCYCLIST",1,0,0,0,1,0,"No Data","No Data","No Data","14",0,"H - HISPANIC","1 - MALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"3 - PEDALCYCLIST","November",2015,5,"5",62461.8052920409,84929269.0806112,"5","#FB9A99",c(-98.5512823, 29.42304497)
"1892",14773824,TRUE,"16764",0,1,0,0,"B - SUSPECTED MINOR INJURY",0,1,1,"E JONES AVE",301,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,"No Data","No Data","No Data","16",0,"W - WHITE","1 - MALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","November",2015,1,"1",85108.0984010411,100561052.89761,"1","#A6CEE3",c(-98.47960232, 29.43525497)
"1893",14774180,FALSE,"16765",0,0,2,0,"N - NOT INJURED",0,0,0,"CANTON ST",427,"No Data","No Data","No Data",0,"3 - PEDALCYCLIST",0,1,0,0,0,0,"No Data","No Data","No Data","9",0,"H - HISPANIC","1 - MALE","N - NOT INJURED",1,0,0,0,"3 - PEDALCYCLIST","November",2015,2,"2",200377.04154192,205775141.994205,"2","#1F78B4",c(-98.45838288, 29.42420774)
"1894",14774434,FALSE,"16765",0,0,1,2,"C - POSSIBLE INJURY",0,2,0,"FENFIELD AVE",1289,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","63",0,"H - HISPANIC","1 - MALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","November",2015,4,"4",240102.385084416,221593816.379782,"4","#33A02C",c(-98.56466401, 29.36305654)
"1895",14774434,FALSE,"16765",0,0,1,2,"C - POSSIBLE INJURY",0,2,0,"FENFIELD AVE",1289,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","2",0,"H - HISPANIC","1 - MALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","November",2015,4,"4",240102.385084416,221593816.379782,"4","#33A02C",c(-98.56466401, 29.36305654)
"1896",14775784,FALSE,"16766",0,0,1,1,"C - POSSIBLE INJURY",0,1,0,"INDEPENDENCE AVE",12939,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","19",0,"H - HISPANIC","1 - MALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","November",2015,10,"10",116850.777152178,173241729.798576,"10","#6A3D9A",c(-98.3662134, 29.5587188)
"1897",14776581,FALSE,"16766",0,1,0,0,"B - SUSPECTED MINOR INJURY",0,1,1,"SAN PEDRO AVE",392,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,"No Data","No Data","No Data","68",0,"H - HISPANIC","2 - FEMALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","November",2015,1,"1",85108.0984010411,100561052.89761,"1","#A6CEE3",c(-98.49668371, 29.43676349)
"1898",14776861,FALSE,"16767",0,0,1,1,"C - POSSIBLE INJURY",0,1,0,"INGRAM RD",5902,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","26",0,"H - HISPANIC","2 - FEMALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","November",2015,7,"7",97574.0859020038,105682671.312796,"7","#FDBF6F",c(-98.59946421, 29.46571281)
"1899",14781971,TRUE,"16769",0,0,0,1,"C - POSSIBLE INJURY",0,1,1,"W HOLLYWOOD AVE",500,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","16",0,"H - HISPANIC","1 - MALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","November",2015,1,"1",85108.0984010411,100561052.89761,"1","#A6CEE3",c(-98.50100231, 29.46401496)
"1900",14812986,TRUE,"16774",0,1,1,0,"B - SUSPECTED MINOR INJURY",0,1,0,"SL0013",3106,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,"No Data","No Data","No Data","44",0,"H - HISPANIC","1 - MALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","December",2015,3,"3",281900.803370827,292907535.076341,"3","#B2DF8A",c(-98.40454266, 29.37496485)
"1901",14827480,FALSE,"16780",0,0,1,0,"A - SUSPECTED SERIOUS INJURY",1,1,0,"PORTER ST",501,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,0,1,1,0,"No Data","No Data","No Data","No Data",0,"H - HISPANIC","1 - MALE","A - SUSPECTED SERIOUS INJURY",0,0,1,1,"4 - PEDESTRIAN","December",2015,2,"2",200377.04154192,205775141.994205,"2","#1F78B4",c(-98.46116366, 29.40590497)
"1902",14835412,FALSE,"16782",0,0,1,0,"A - SUSPECTED SERIOUS INJURY",1,1,0,"WEST AVE",1860,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,0,1,1,0,"No Data","No Data","No Data","46",0,"W - WHITE","1 - MALE","A - SUSPECTED SERIOUS INJURY",0,0,1,1,"4 - PEDESTRIAN","December",2015,1,"1",85108.0984010411,100561052.89761,"1","#A6CEE3",c(-98.5260123, 29.478249)
"1903",14812880,TRUE,"16783",0,1,1,0,"B - SUSPECTED MINOR INJURY",0,1,0,"S HACKBERRY ST",1500,"No Data","No Data","No Data",0,"3 - PEDALCYCLIST",1,0,0,0,1,0,"No Data","No Data","No Data","24",0,"H - HISPANIC","1 - MALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"3 - PEDALCYCLIST","December",2015,3,"3",281900.803370827,292907535.076341,"3","#B2DF8A",c(-98.47347232, 29.40230498)
"1904",14819021,FALSE,"16784",0,1,1,0,"B - SUSPECTED MINOR INJURY",0,1,0,"ROLLING WOOD DR",5400,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,"No Data","No Data","No Data","35",0,"B - BLACK","1 - MALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","December",2015,7,"7",97574.0859020038,105682671.312796,"7","#FDBF6F",c(-98.58639229, 29.48278496)
"1905",14835572,TRUE,"16784",1,0,1,0,"K - FATAL INJURY",0,0,0,"S HAMILTON ST",1098,"No Data","No Data","No Data",1,"3 - PEDALCYCLIST",0,0,0,0,0,0,"No Data","No Data","No Data","55",1,"H - HISPANIC","1 - MALE","K - FATAL INJURY",0,0,0,0,"3 - PEDALCYCLIST","December",2015,5,"5",62461.8052920409,84929269.0806112,"5","#FB9A99",c(-98.5328423, 29.41797497)
"1906",14829149,FALSE,"16785",0,0,1,1,"C - POSSIBLE INJURY",0,1,0,"DENVER BLVD",273,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","61",0,"B - BLACK","2 - FEMALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","December",2015,2,"2",200377.04154192,205775141.994205,"2","#1F78B4",c(-98.47339965, 29.40489497)
"1907",14813872,TRUE,"16786",0,0,1,1,"C - POSSIBLE INJURY",0,1,0,"NAVARRO ST",152,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","No Data",0,"H - HISPANIC","1 - MALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","December",2015,1,"1",85108.0984010411,100561052.89761,"1","#A6CEE3",c(-98.49044231, 29.42242497)
"1908",14816109,FALSE,"16786",0,0,1,1,"C - POSSIBLE INJURY",0,1,0,"E GRAYSON ST",687,"No Data","No Data","No Data",0,"3 - PEDALCYCLIST",0,0,1,0,1,0,"No Data","No Data","No Data","30",0,"H - HISPANIC","1 - MALE","C - POSSIBLE INJURY",0,1,0,1,"3 - PEDALCYCLIST","December",2015,2,"2",200377.04154192,205775141.994205,"2","#1F78B4",c(-98.473341, 29.44315381)
"1909",14816123,FALSE,"16786",0,1,5,1,"B - SUSPECTED MINOR INJURY",0,2,0,"FM0471",11230,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","15",0,"B - BLACK","2 - FEMALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","December",2015,6,"6",166331.497379634,195538833.203622,"6","#E31A1C",c(-98.71342645, 29.49756124)
"1910",14816123,FALSE,"16786",0,1,5,1,"B - SUSPECTED MINOR INJURY",0,2,0,"FM0471",11230,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,"No Data","No Data","No Data","15",0,"B - BLACK","2 - FEMALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","December",2015,6,"6",166331.497379634,195538833.203622,"6","#E31A1C",c(-98.71342645, 29.49756124)
"1911",14826027,FALSE,"16786",0,1,0,0,"B - SUSPECTED MINOR INJURY",0,1,1,"SPRINGFIELD RD",1431,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,"No Data","No Data","No Data","14",0,"B - BLACK","1 - MALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","December",2015,2,"2",200377.04154192,205775141.994205,"2","#1F78B4",c(-98.39957234, 29.46204491)
"1912",14817454,FALSE,"16787",0,0,1,1,"C - POSSIBLE INJURY",0,1,0,"S NEW BRAUNFELS AVE",1590,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","55",0,"W - WHITE","1 - MALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","December",2015,2,"2",200377.04154192,205775141.994205,"2","#1F78B4",c(-98.46123232, 29.40392351)
"1913",14817482,FALSE,"16787",0,1,2,0,"B - SUSPECTED MINOR INJURY",0,1,0,"CULEBRA RD",7797,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,"No Data","No Data","No Data","27",0,"W - WHITE","2 - FEMALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","December",2015,6,"6",166331.497379634,195538833.203622,"6","#E31A1C",c(-98.64147841, 29.46170564)
"1914",14817736,TRUE,"16788",0,0,0,1,"C - POSSIBLE INJURY",0,1,1,"SS0421",1098,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","33",0,"H - HISPANIC","1 - MALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","December",2015,7,"7",97574.0859020038,105682671.312796,"7","#FDBF6F",c(-98.55913695, 29.46039198)
"1915",14818850,FALSE,"16788",0,0,1,0,"A - SUSPECTED SERIOUS INJURY",1,1,0,"W HILDEBRAND AVE",2073,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,0,1,1,0,"No Data","No Data","No Data","57",0,"H - HISPANIC","1 - MALE","A - SUSPECTED SERIOUS INJURY",0,0,1,1,"4 - PEDESTRIAN","December",2015,1,"1",85108.0984010411,100561052.89761,"1","#A6CEE3",c(-98.52731557, 29.46602095)
"1916",14820557,FALSE,"16789",0,0,1,1,"C - POSSIBLE INJURY",0,1,0,"N FLORES ST",1205,"No Data","No Data","No Data",0,"3 - PEDALCYCLIST",0,0,1,0,1,0,"No Data","No Data","No Data","26",0,"H - HISPANIC","1 - MALE","C - POSSIBLE INJURY",0,1,0,1,"3 - PEDALCYCLIST","December",2015,1,"1",85108.0984010411,100561052.89761,"1","#A6CEE3",c(-98.50211671, 29.43695313)
"1917",14825963,TRUE,"16789",0,1,1,0,"B - SUSPECTED MINOR INJURY",0,1,0,"GARDINA",1300,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,"No Data","No Data","No Data","60",0,"H - HISPANIC","2 - FEMALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","December",2015,1,"1",85108.0984010411,100561052.89761,"1","#A6CEE3",c(-98.5349323, 29.48007496)
"1918",14835361,FALSE,"16789",1,0,1,0,"K - FATAL INJURY",0,0,0,"W MARTIN ST",3103,"No Data","No Data","No Data",1,"4 - PEDESTRIAN",0,0,0,0,0,0,"No Data","No Data","No Data","53",1,"H - HISPANIC","1 - MALE","K - FATAL INJURY",0,0,0,0,"4 - PEDESTRIAN","December",2015,5,"5",62461.8052920409,84929269.0806112,"5","#FB9A99",c(-98.52652516, 29.43208826)
"1919",14821094,FALSE,"16790",0,1,3,0,"B - SUSPECTED MINOR INJURY",0,1,0,"RUNNING HORSE ST",8500,"No Data","No Data","No Data",0,"3 - PEDALCYCLIST",1,0,0,0,1,0,"No Data","No Data","No Data","8",0,"H - HISPANIC","2 - FEMALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"3 - PEDALCYCLIST","December",2015,4,"4",240102.385084416,221593816.379782,"4","#33A02C",c(-98.61007229, 29.34353499)
"1920",14821155,TRUE,"16790",0,0,2,0,"N - NOT INJURED",0,0,0,"S CALAVERAS",898,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,1,0,0,0,0,"No Data","No Data","No Data","85",0,"H - HISPANIC","2 - FEMALE","N - NOT INJURED",1,0,0,0,"4 - PEDESTRIAN","December",2015,5,"5",62461.8052920409,84929269.0806112,"5","#FB9A99",c(-98.52576231, 29.41942497)
"1921",14827055,FALSE,"16790",0,0,1,1,"C - POSSIBLE INJURY",0,1,0,"FM1535",2502,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","51",0,"H - HISPANIC","1 - MALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","December",2015,9,"9",129650.987030356,170733801.46627,"9","#CAB2D6",c(-98.5305573, 29.54740828)
"1922",14823691,TRUE,"16791",0,0,1,1,"C - POSSIBLE INJURY",0,1,0,"PROBANDT ST",1798,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","80",0,"H - HISPANIC","1 - MALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","December",2015,3,"3",281900.803370827,292907535.076341,"3","#B2DF8A",c(-98.50030231, 29.38794498)
"1923",14824023,FALSE,"16791",0,0,1,1,"C - POSSIBLE INJURY",0,1,0,"FM2696",11745,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","No Data",0,"B - BLACK","1 - MALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","December",2015,9,"9",129650.987030356,170733801.46627,"9","#CAB2D6",c(-98.50969151, 29.54763232)
"1924",14826528,FALSE,"16791",1,0,1,0,"K - FATAL INJURY",0,0,0,"HUEBNER RD",11907,"No Data","No Data","No Data",1,"4 - PEDESTRIAN",0,0,0,0,0,0,"No Data","No Data","No Data","59",1,"W - WHITE","1 - MALE","K - FATAL INJURY",0,0,0,0,"4 - PEDESTRIAN","December",2015,8,"8",139193.677037404,181162836.259435,"8","#FF7F00",c(-98.57083547, 29.55230177)
"1925",14827439,FALSE,"16791",0,0,2,0,"A - SUSPECTED SERIOUS INJURY",1,1,0,"INGRAM RD",6008,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,0,1,1,0,"No Data","No Data","No Data","44",0,"H - HISPANIC","1 - MALE","A - SUSPECTED SERIOUS INJURY",0,0,1,1,"4 - PEDESTRIAN","December",2015,6,"6",166331.497379634,195538833.203622,"6","#E31A1C",c(-98.60265971, 29.46633497)
"1926",14827574,FALSE,"16791",1,0,1,0,"K - FATAL INJURY",0,0,0,"S NEW BRAUNFELS AVE",1401,"No Data","No Data","No Data",1,"4 - PEDESTRIAN",0,0,0,0,0,0,"No Data","No Data","No Data","71",1,"W - WHITE","2 - FEMALE","K - FATAL INJURY",0,0,0,0,"4 - PEDESTRIAN","December",2015,2,"2",200377.04154192,205775141.994205,"2","#1F78B4",c(-98.46124232, 29.40586386)
"1927",14827444,TRUE,"16792",0,0,7,1,"C - POSSIBLE INJURY",0,1,0,"W MILITARY DR",7050,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","76",0,"H - HISPANIC","1 - MALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","December",2015,6,"6",166331.497379634,195538833.203622,"6","#E31A1C",c(-98.62918228, 29.40899498)
"1928",14827467,FALSE,"16792",0,1,1,0,"B - SUSPECTED MINOR INJURY",0,1,0,"CURTIS ST",7696,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,"No Data","No Data","No Data","73",0,"W - WHITE","2 - FEMALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","December",2015,3,"3",281900.803370827,292907535.076341,"3","#B2DF8A",c(-98.4858725, 29.3502424)
"1929",14834942,FALSE,"16792",0,0,2,0,"N - NOT INJURED",0,0,0,"S PRESA ST",4667,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,1,0,0,0,0,"No Data","No Data","No Data","29",0,"W - WHITE","2 - FEMALE","N - NOT INJURED",1,0,0,0,"4 - PEDESTRIAN","December",2015,3,"3",281900.803370827,292907535.076341,"3","#B2DF8A",c(-98.47532118, 29.37546534)
"1930",14827282,TRUE,"16793",0,1,1,0,"B - SUSPECTED MINOR INJURY",0,1,0,"W MAYFIELD BLVD",300,"No Data","No Data","No Data",0,"3 - PEDALCYCLIST",1,0,0,0,1,0,"No Data","No Data","No Data","No Data",0,"H - HISPANIC","1 - MALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"3 - PEDALCYCLIST","December",2015,3,"3",281900.803370827,292907535.076341,"3","#B2DF8A",c(-98.51645231, 29.36167498)
"1931",14827665,FALSE,"16793",0,0,1,0,"A - SUSPECTED SERIOUS INJURY",1,1,0,"EISENHAUER RD",3900,"No Data","No Data","No Data",0,"3 - PEDALCYCLIST",0,0,0,1,1,0,"No Data","No Data","No Data","54",0,"H - HISPANIC","1 - MALE","A - SUSPECTED SERIOUS INJURY",0,0,1,1,"3 - PEDALCYCLIST","December",2015,2,"2",200377.04154192,205775141.994205,"2","#1F78B4",c(-98.41997556, 29.49659495)
"1932",14827803,TRUE,"16793",0,0,1,1,"C - POSSIBLE INJURY",0,1,0,"MARBACH RD",8298,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","53",0,"B - BLACK","2 - FEMALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","December",2015,4,"4",240102.385084416,221593816.379782,"4","#33A02C",c(-98.65476227, 29.41783498)
"1933",14828047,FALSE,"16793",0,2,0,0,"B - SUSPECTED MINOR INJURY",0,2,1,"WILSON BLVD",2000,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,"No Data","No Data","No Data","17",0,"W - WHITE","1 - MALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","December",2015,7,"7",97574.0859020038,105682671.312796,"7","#FDBF6F",c(-98.5402023, 29.46597497)
"1934",14828047,FALSE,"16793",0,2,0,0,"B - SUSPECTED MINOR INJURY",0,2,1,"WILSON BLVD",2000,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,"No Data","No Data","No Data","18",0,"H - HISPANIC","1 - MALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","December",2015,7,"7",97574.0859020038,105682671.312796,"7","#FDBF6F",c(-98.5402023, 29.46597497)
"1935",14827532,FALSE,"16794",0,0,0,0,"A - SUSPECTED SERIOUS INJURY",1,1,1,"W COMMERCE ST",6107,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,0,1,1,0,"No Data","No Data","No Data","25",0,"H - HISPANIC","1 - MALE","A - SUSPECTED SERIOUS INJURY",0,0,1,1,"4 - PEDESTRIAN","December",2015,5,"5",62461.8052920409,84929269.0806112,"5","#FB9A99",c(-98.57945499, 29.43318624)
"1936",14828286,FALSE,"16794",0,0,0,0,"A - SUSPECTED SERIOUS INJURY",1,1,1,"STONEWALL ST",804,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,0,1,1,0,"No Data","No Data","No Data","35",0,"H - HISPANIC","1 - MALE","A - SUSPECTED SERIOUS INJURY",0,0,1,1,"4 - PEDESTRIAN","December",2015,5,"5",62461.8052920409,84929269.0806112,"5","#FB9A99",c(-98.51747144, 29.37349385)
"1937",14828552,TRUE,"16794",0,0,1,1,"C - POSSIBLE INJURY",0,1,0,"FM0078",6399,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","54",0,"W - WHITE","1 - MALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","December",2015,2,"2",200377.04154192,205775141.994205,"2","#1F78B4",c(-98.36104633, 29.48022751)
"1938",14829008,FALSE,"16795",0,1,1,0,"B - SUSPECTED MINOR INJURY",0,1,0,"FLINT ROCK DR",6257,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,"No Data","No Data","No Data","42",0,"W - WHITE","1 - MALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","December",2015,7,"7",97574.0859020038,105682671.312796,"7","#FDBF6F",c(-98.60929698, 29.46732625)
"1939",14829654,FALSE,"16795",0,0,1,1,"C - POSSIBLE INJURY",0,1,0,"GLENCREST DR",630,"No Data","No Data","No Data",0,"3 - PEDALCYCLIST",0,0,1,0,1,0,"No Data","No Data","No Data","31",0,"W - WHITE","1 - MALE","C - POSSIBLE INJURY",0,1,0,1,"3 - PEDALCYCLIST","December",2015,7,"7",97574.0859020038,105682671.312796,"7","#FDBF6F",c(-98.56118343, 29.49382609)
"1940",14836704,FALSE,"16795",0,0,5,0,"A - SUSPECTED SERIOUS INJURY",1,1,0,"RIVAS ST",3525,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,0,1,1,0,"No Data","No Data","No Data","9",0,"H - HISPANIC","2 - FEMALE","A - SUSPECTED SERIOUS INJURY",0,0,1,1,"4 - PEDESTRIAN","December",2015,5,"5",62461.8052920409,84929269.0806112,"5","#FB9A99",c(-98.56255072, 29.44290658)
