Date and Time,Agency Name (Crash Level) ,Area: County,Area: City,Roadway (From Crash Report),Intersection Name (from Crash Report),KABCO Severity,Manner of Collision (Crash Level) ,First Harmful Event (Crash Level) ,SHSP Emphasis Areas,# of Fatalities (Person Table),# Serious Injuries,# Visible Injuries,# Complaint Injuries,# of Vehicles,Operator / Driver Contributing Factor -old,Roadway Contributing Factors (Crash Level) ,Weather Conditions (Crash Level),Surface Condition (Crash Level) ,Light Conditions (Crash Level),Latitude ,Longitude
9/26/18 22:04,Atlanta Police Department,Fulton,Atlanta,Campbellton Rd,Maxwell Dr and Campbellton Rd,(O) No Injury,Head On,,"[""Intersection Related"",""Pedestrian""]",0,0,0,0,1,"[""Disregard Stop Sign/Signal"",""No Contributing Factors""]",,Rain,Water (standing or moving),Dark-Lighted,33.698196,-84.483296
6/24/18 22:10,Atlanta Police Department,Fulton,Atlanta,3560 Mlk Jr Dr,Adamsville Dr and 3560 Mlk Jr Dr,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Pedestrian"",""Distracted Driver (Suspected)"",""Older Driver (55-64)""]",0,0,0,0,1,"[""No Contributing Factors"",""Other""]",,Clear,Dry,Dark-Lighted,33.758577,-84.504148
10/24/18 17:17,Atlanta Police Department,Fulton,Atlanta,Peachtree St,Peachtree St and Ponce De Leon Ave,(O) No Injury,Angle (Other),,"[""Intersection Related"",""Pedestrian""]",0,0,0,0,1,,,Clear,Dry,Daylight,33.772249,-84.384912
10/21/18 11:44,Atlanta Police Department,Fulton,Atlanta,I 20,I 20 and Capital Ave,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,0,0,1,,,Clear,Dry,Dark-Lighted,33.743753,-84.386539
9/3/18 15:52,Atlanta Police Department,Fulton,Atlanta,Cooper St Sw   Bass St,Bass St and Cooper St Sw   Bass St,Unknown,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian""]",0,0,0,0,1,"[""Failure to Yield"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.735602,-84.397082
3/5/18 18:22,Atlanta Police Department,Fulton,Atlanta,Spring St Nw   3Rd St,3Rd St and Spring St Nw   3Rd St,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Roadway Departure"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,0,0,1,Other,,Rain,Wet,Daylight,33.773924,-84.38883
6/7/18 21:48,Atlanta Police Department,Fulton,Atlanta,850 Oak St Sw W End Mall,Lee St and 850 Oak St Sw W End Mall,(K) Fatal Injury,Not a Collision with Motor Vehicle,,"[""Pedestrian"",""Distracted Driver (Suspected)""]",1,0,0,0,1,"[""No Contributing Factors"",""Other""]",,Clear,Dry,Daylight,33.738253,-84.414833
9/26/19 10:15,Atlanta Police Department,Fulton,Atlanta,Piedmont Rd,Piedmont Rd and Lindbergh Dr,(O) No Injury,Angle (Other),,"[""Intersection Related"",""Hit & Run"",""Pedestrian""]",0,0,0,0,1,,,Clear,Dry,Daylight,33.821436,-84.367396
9/29/19 13:07,Atlanta Police Department,Fulton,Atlanta,Sidney Marcus Blvd,Sr 400 and Sidney Marcus Blvd,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Hit & Run"",""Pedestrian""]",0,0,0,0,1,"[""Failure to Yield"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.825064,-84.358036
8/1/19 20:39,Atlanta Police Department,Fulton,Atlanta,3221 Martin L King Jr Dr,,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Pedestrian"",""Young Adult Driver (Age 20-24)"",""Impaired Driving (Confirmed)""]",0,0,0,0,1,,,Cloudy,Dry,Dark-Lighted,33.752333,-84.49253
8/4/19 15:25,Atlanta Police Department,Fulton,Atlanta,Metropolitan Pkwy,Cleveland Ave and Metropolitan Pkwy,Unknown,Angle (Other),,"[""Intersection Related"",""Pedestrian""]",0,0,0,0,1,"[""Misjudged Clearance"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.681273,-84.407711
3/11/19 7:36,Atlanta Police Department,Fulton,Atlanta,N Ave,N Ave and Peachtree St,Unknown,Angle (Other),,"[""Intersection Related"",""Older Driver (65+)"",""Pedestrian""]",0,0,0,0,1,"[""Failure to Yield"",""No Contributing Factors""]",,Clear,Dry,Dark-Lighted,33.771287,-84.384996
11/15/19 8:11,Atlanta Police Department,Fulton,Atlanta,15Th St,15Th St and Peachtree St,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,0,0,1,"[""Other"",""Other""]",,Rain,Wet,Daylight,33.788888,-84.382242
10/31/19 3:57,Atlanta Police Department,Fulton,Atlanta,208 Edgewood Ave,Jesse Hill Jr Dr and 208 Edgewood Ave,(O) No Injury,Head On,,"[""Pedestrian"",""Impaired (Suspected)""]",0,0,0,0,1,"[""Disregard Other Traffic Control"",""No Contributing Factors""]",,Cloudy,Wet,Dark-Lighted,33.754433,-84.380739
5/16/19 22:40,Atlanta Police Department,Fulton,Atlanta,N Camp Creek Pkwy,,(O) No Injury,Head On,,"[""Hit & Run"",""Pedestrian""]",0,0,0,0,2,,,Clear,Dry,Dark-Lighted,33.673363,-84.498743
10/12/19 13:54,Atlanta Police Department,Fulton,Atlanta,Luckie St Nw   Ted Turner Dr,Ted Turner Dr and Luckie St Nw   Ted Turner Dr,(O) No Injury,Head On,,"[""Intersection Related"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,0,0,1,,,Clear,Dry,Daylight,33.758402,-84.390662
6/21/19 17:14,Atlanta Police Department,Fulton,Atlanta,187 10Th St,187 10Th St and Piedmont Ave,(B) Suspected Minor/Visible Injury,Angle (Other),,"[""Bicycle"",""Improper Occupant Protection""]",0,0,1,0,2,,,Clear,Dry,Daylight,33.781774,-84.38114
9/24/19 14:04,Atlanta Police Department,Fulton,Atlanta,Glenn St,Glenn St and Mcdaniel St,Unknown,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Hit & Run"",""Pedestrian""]",0,0,0,0,1,"[""Failure to Yield"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.738146,-84.401626
7/8/19 13:55,Atlanta Police Department,Fulton,Atlanta,Peachtree St,Decatur St and Peachtree St,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Hit & Run"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,0,0,1,"[""No Contributing Factors"",""Other""]",,Clear,Dry,Daylight,33.754319,-84.389771
4/15/19 17:40,Atlanta Police Department,Fulton,Atlanta,N Ave,N Ave and W Peachtree St,(O) No Injury,Rear End,,"[""Intersection Related"",""Pedestrian"",""Young Driver (Age 15-19)"",""Distracted Driver (Suspected)""]",0,0,0,0,2,"[""Following Too Close"",""No Contributing Factors"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.771271,-84.387417
10/18/19 13:00,Emory Police Department,DeKalb,Atlanta,Fishburne Ln,Fishburne Dr and Fishburne Ln,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Bicycle"",""Impaired (Suspected)"",""Distracted Driver (Suspected)"",""Improper Occupant Protection""]",0,0,0,0,1,"[""No Contributing Factors"",""Other""]",,Clear,Dry,Daylight,33.789315,-84.323579
11/7/19 20:25,Atlanta Police Department,Fulton,Atlanta,Beckwith St Sw   James P Brawley Dr,James P Brawley Dr and Beckwith St Sw   James P Brawley Dr,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Hit & Run"",""Pedestrian"",""Distracted Driver (Suspected)"",""Improper Occupant Protection""]",0,0,0,0,1,,,Rain,Wet,Dark-Lighted,33.752121,-84.412808
2/12/19 18:46,Atlanta Police Department,Fulton,Atlanta,Ralph D Abernathy Blvd,Cooper St and Ralph D Abernathy Blvd,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian"",""Impaired Driving (Confirmed)""]",0,0,0,0,1,,,Cloudy,Wet,Dark-Not Lighted,33.736844,-84.397065
9/1/19 1:04,Atlanta Police Department,Fulton,Atlanta,746 Pearce St,746 Pearce St and Metropolitan Pkwy,(O) No Injury,(None),,"[""Aggressive Driving"",""Hit & Run"",""Pedestrian""]",0,0,0,0,1,"[""Aggressive Driving"",""No Contributing Factors""]",,(None),(None),Dark-Not Lighted,33.729154,-84.412106
9/22/19 18:48,Dekalb Co Police Department,DeKalb,Atlanta,Fayetteville Rd,Glenwood Ave and Fayetteville Rd,(C) Possible Injury / Complaint,Not a Collision with Motor Vehicle,,"[""Hit & Run"",""Pedestrian""]",0,0,0,1,1,"[""Other"",""Other""]",,Clear,Dry,Daylight,33.739528,-84.311164
12/11/19 11:55,Atlanta Police Department,Fulton,Atlanta,Decatur St,Decatur St and Jesse Hill Jr Dr,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Distracted Driver (Confirmed)"",""Pedestrian""]",0,0,0,0,1,"[""Failure to Yield"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.750629,-84.38422
7/14/19 0:54,Atlanta Police Department,Fulton,Atlanta,Campbellton Rd,Delowe Dr and Campbellton Rd,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Pedestrian"",""Impaired (Suspected)""]",0,0,0,0,1,,,Clear,Dry,Dark-Lighted,33.705383,-84.460571
5/18/19 22:10,Atlanta Police Department,Fulton,Atlanta,Metropolitan Pkwy,Rockwell St and Metropolitan Pkwy,Unknown,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Distracted Driver (Confirmed)"",""Hit & Run"",""Pedestrian""]",0,0,0,0,1,,,Clear,Dry,Dark-Lighted,33.731942,-84.408102
9/27/19 23:36,Atlanta Police Department,Fulton,Atlanta,I 7585,I 7585 and Andrew Young Interna Blvd,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Hit & Run"",""Pedestrian"",""Impaired (Suspected)"",""Distracted Driver (Suspected)""]",0,0,0,0,1,"[""No Contributing Factors"",""Other""]",,Clear,Dry,Dark-Not Lighted,33.760096,-84.380012
10/26/19 9:04,Atlanta Police Department,Fulton,Atlanta,Peachtree Rd,Andrews Dr and Peachtree Rd,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,0,0,1,"[""No Contributing Factors"",""Other""]",,Cloudy,Dry,Daylight,33.828634,-84.387456
11/21/19 18:33,Atlanta Police Department,Fulton,Atlanta,Luckie St,Mills St and Luckie St,(O) No Injury,Head On,,"[""Intersection Related"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,0,0,1,,,Cloudy,Dry,Dark-Lighted,33.765331,-84.396136
11/8/19 12:32,Gsp Post 00,Fulton,Atlanta,Bell St,Bell St and Edgewood Ave,(A) Suspected Serious Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Aggressive Driving"",""Hit & Run"",""Bicycle"",""Improper Occupant Protection""]",0,1,0,0,2,Disregard Stop Sign/Signal,,Clear,Dry,Daylight,33.754446,-84.379452
9/11/19 17:04,Gsp Post 00,Fulton,Atlanta,Donald Lee Hollowell Pkwy,Hortense Pl and Donald Lee Hollowell Pkwy,(C) Possible Injury / Complaint,Head On,,"[""Intersection Related"",""Aggressive Driving"",""Pedestrian"",""Older Driver (55-64)"",""Improper Occupant Protection""]",0,0,0,1,3,,,Clear,Dry,Daylight,33.772436,-84.441203
7/17/19 8:49,Atlanta Police Department,Fulton,Atlanta,Lee St Sw   Campbellton Rd,Oakland Ln and Lee St Sw   Campbellton Rd,Unknown,Angle (Other),,"[""Intersection Related"",""Hit & Run"",""Pedestrian""]",0,0,0,0,1,,,Clear,Dry,Daylight,33.718218,-84.425212
11/20/19 8:19,Atlanta Police Department,Fulton,Atlanta,Old Ivy Rd,Allison Dr and Old Ivy Rd,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Aggressive Driving"",""Pedestrian"",""Older Driver (55-64)""]",0,0,0,0,1,,,Clear,Dry,Daylight,33.855333,-84.377775
9/6/19 19:26,Atlanta Police Department,Fulton,Atlanta,60  Ave,60  Ave and Fraser St,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian""]",0,0,0,0,1,,,Clear,Dry,Daylight,33.736823,-84.385771
7/8/19 9:20,Atlanta Police Department,Fulton,Atlanta,W Wesley Rd Nw   N Wesley Ct,N Wesley Ct and W Wesley Rd Nw   N Wesley Ct,(O) No Injury,Angle (Other),,"[""Aggressive Driving"",""Older Driver (65+)"",""Pedestrian""]",0,0,0,0,2,,,Clear,Dry,Daylight,33.839824,-84.445251
8/8/19 16:34,Atlanta Police Department,Fulton,Atlanta,112 Linkwood Rd,,(B) Suspected Minor/Visible Injury,Not a Collision with Motor Vehicle,,"[""Bicycle"",""Improper Occupant Protection""]",0,0,1,0,2,,,Clear,Dry,Daylight,33.758276,-84.482945
12/1/19 22:40,Atlanta Police Department,Fulton,Atlanta,Joseph E Lowery Blvd,,(O) No Injury,Angle (Other),,"[""Intersection Related"",""Hit & Run"",""Pedestrian"",""Impaired (Suspected)""]",0,0,0,0,1,"[""Improper Turn"",""No Contributing Factors""]",,Clear,Dry,Dark-Lighted,33.755554,-84.417551
9/9/19 7:10,Atlanta Police Department,Fulton,Atlanta,Pryor St,Pryor St and Rawson St,Unknown,Head On,,"[""Intersection Related"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,0,0,1,"[""No Contributing Factors"",""Other""]",,Clear,Dry,Daylight,33.744554,-84.394467
7/27/19 16:36,Atlanta Police Department,Fulton,Atlanta,1111 Moreland Ave,United Ave and 1111 Moreland Ave,Unknown,Sideswipe-Same Direction,,"[""Intersection Related"",""Pedestrian"",""Impaired (Suspected)"",""Older Driver (55-64)""]",0,0,0,0,1,"[""No Contributing Factors"",""Other""]",,Clear,Dry,Daylight,33.723944,-84.349455
9/11/19 9:57,Atlanta Police Department,Fulton,Atlanta,W Peachtree St Ne   15Th St,15Th St and W Peachtree St Ne   15Th St,(O) No Injury,Angle (Other),,"[""Intersection Related"",""Pedestrian"",""Older Driver (55-64)""]",0,0,0,0,1,,,Clear,Dry,Daylight,33.788544,-84.387794
9/11/19 15:07,Atlanta Police Department,Fulton,Atlanta,Greensferry Ave  Northside Dr,,(O) No Injury,Head On,,"[""Intersection Related"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,0,0,1,,,Cloudy,Dry,Daylight,33.746254,-84.406599
12/6/19 19:02,Atlanta Police Department,Fulton,Atlanta,United Ave,Blvd and United Ave,Unknown,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian""]",0,0,0,0,1,"[""Failure to Yield"",""No Contributing Factors""]",,Cloudy,Dry,Dark-Lighted,33.73568,-84.368233
4/12/19 11:02,Atlanta Police Department,Fulton,Atlanta,Ralph D Abernathy Blvd,Lee St and Ralph D Abernathy Blvd,Unknown,Head On,,"[""Intersection Related"",""Pedestrian""]",0,0,0,0,1,"[""No Contributing Factors"",""Not Visible (Object, Person, or Vehicle)""]",,Cloudy,Wet,Daylight,33.738245,-84.414075
1/24/19 7:15,Atlanta Police Department,Fulton,Atlanta,520 Humphries St,,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Hit & Run"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,0,0,1,"[""Changed Lanes Improperly"",""No Contributing Factors""]",,Cloudy,Wet,Dark-Lighted,33.739944,-84.404096
7/15/19 10:43,Georgia Tech Police Department,Fulton,Atlanta,Techwood Dr,Techwood Dr and Bobby Dodd Way,(B) Suspected Minor/Visible Injury,Not a Collision with Motor Vehicle,,"[""Aggressive Driving"",""Bicycle"",""Improper Occupant Protection""]",0,0,1,0,2,"[""Improper Passing"",""Misjudged Clearance""]",,Clear,Dry,Dark-Lighted,33.772995,-84.391984
11/15/19 15:36,Atlanta Police Department,Fulton,Atlanta,Moreland Ave,Sanders Ave and Moreland Ave,(O) No Injury,Head On,,"[""Intersection Related"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,0,0,1,"[""No Contributing Factors"",""Other""]",,Rain,Dry,Daylight,33.742074,-84.349249
4/17/19 17:04,Atlanta Police Department,Fulton,Atlanta,1088 N Ave,,(B) Suspected Minor/Visible Injury,Angle (Other),,"[""Roadway Departure"",""Bicycle"",""Improper Occupant Protection""]",0,0,1,0,2,,,Clear,(None),Daylight,33.771074,-84.351911
3/10/19 3:00,Atlanta Police Department,Fulton,Atlanta,Ralph David Abernathy Blvd,Pryor St and Ralph David Abernathy Blvd,(O) No Injury,Head On,,"[""Intersection Related"",""Pedestrian"",""Young Adult Driver (Age 20-24)""]",0,0,0,0,1,"[""Disregard Other Traffic Control"",""No Contributing Factors""]",,Clear,Dry,Dark-Lighted,33.736848,-84.394379
2/15/18 6:45,Atlanta Police Department,Fulton,Atlanta,Northside Dr,Ethel St and Northside Dr,(O) No Injury,Not a Collision with Motor Vehicle,,"[""CMV Related"",""Hit & Run"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,0,0,1,Other,,Cloudy,Dry,Daylight,33.784549,-84.407999
9/6/18 18:14,Emory Police Department,DeKalb,Atlanta,N Decatur Rd,N Decatur Rd and Ridgewood Dr Ne,(B) Suspected Minor/Visible Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian"",""Distracted Driver (Suspected)"",""Improper Occupant Protection""]",0,0,1,0,1,"[""No Contributing Factors"",""Other""]",,Clear,Dry,Daylight,33.791174,-84.316458
5/16/18 21:44,Atlanta Police Department,Fulton,Atlanta,20 10Th St,,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Hit & Run"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,0,0,1,No Contributing Factors,,Clear,Dry,Dark-Lighted,33.781466,-84.386816
12/1/18 22:17,Atlanta Police Department,Fulton,Atlanta,Peachtree St,15Th St and Peachtree St,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Hit & Run"",""Pedestrian""]",0,0,0,0,1,,,Rain,Wet,Dark-Lighted,33.78841,-84.383849
12/24/18 20:22,Atlanta Police Department,Fulton,Atlanta,2440 Barge Rd,,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Pedestrian"",""Older Driver (55-64)""]",0,0,0,0,1,"[""Misjudged Clearance"",""No Contributing Factors""]",,Clear,Dry,Dark-Lighted,33.688444,-84.505776
11/22/18 19:19,Atlanta Police Department,Fulton,Atlanta,Adamsville Dr Sw   Martin L King Jr Dr,Martin L King Jr Dr and Adamsville Dr Sw   Martin L King Jr Dr,(O) No Injury,Head On,,"[""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,0,0,1,,,Clear,Dry,Dark-Lighted,33.762137,-84.508215
11/13/18 18:44,Atlanta Police Department,Fulton,Atlanta,N Ave,N Ave and W Peachtree St,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Aggressive Driving"",""Hit & Run"",""Pedestrian""]",0,0,0,0,1,"[""Disregard Police - Evasion"",""No Contributing Factors""]",,Clear,Dry,Dark-Lighted,33.772234,-84.384913
9/27/18 16:42,Atlanta Police Department,Fulton,Atlanta,5Th St Nw   W Peachtree St,W Peachtree St and 5Th St Nw   W Peachtree St,Unknown,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian"",""Young Adult Driver (Age 20-24)""]",0,0,0,0,1,"[""Failure to Yield"",""No Contributing Factors""]",,Rain,Wet,Daylight,33.776979,-84.387302
6/3/18 15:36,Atlanta Police Department,Fulton,Atlanta,300 Peters St,,(O) No Injury,Sideswipe-Same Direction,,"[""Aggressive Driving"",""Pedestrian""]",0,0,0,0,1,Improper Passing,,(None),Dry,Daylight,33.746504,-84.402186
7/7/18 18:00,Atlanta Police Department,Fulton,Atlanta,Ralph D Abernathy Blvd,Central Ave and Ralph D Abernathy Blvd,(B) Suspected Minor/Visible Injury,Angle (Other),,"[""Pedestrian"",""Improper Occupant Protection""]",0,0,1,2,2,"[""Disregard Stop Sign/Signal"",""No Contributing Factors"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.736776,-84.393485
5/4/18 13:27,Atlanta Police Department,Fulton,Atlanta,Lee St,Lee St and York Ave,(O) No Injury,Angle (Other),,"[""Intersection Related"",""Pedestrian""]",0,0,0,0,1,No Contributing Factors,,Clear,Dry,Daylight,33.737204,-84.414091
11/12/18 8:13,Atlanta Police Department,Fulton,Atlanta,W Peachtree St,12Th St and W Peachtree St,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,0,0,1,,,Rain,Water (standing or moving),Dark-Lighted,33.784561,-84.387824
3/3/18 14:58,Atlanta Police Department,Fulton,Atlanta,649 Simmons St,,(O) No Injury,Head On,,"[""Pedestrian"",""Young Adult Driver (Age 20-24)"",""Impaired Driving (Confirmed)""]",0,0,0,0,1,No Contributing Factors,,Clear,Dry,Daylight,33.772483,-84.419956
4/8/18 22:03,Atlanta Police Department,Fulton,Atlanta,190 Marietta St Nw Cnn Ctr,,Unknown,Not a Collision with Motor Vehicle,,"[""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,0,0,1,No Contributing Factors,,Clear,Dry,Dark-Lighted,33.757165,-84.394487
11/1/18 17:33,Atlanta Police Department,Fulton,Atlanta,Cheshire Bridge Rd,Lenox Rd and Cheshire Bridge Rd,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,0,0,1,,,Rain,Wet,Daylight,33.816771,-84.35224
6/22/18 20:10,Atlanta Police Department,Fulton,Atlanta,886 Martin L King Jr Dr,,(O) No Injury,(None),,Bicycle,0,0,0,0,2,"[""Failure to Yield"",""No Contributing Factors""]",,Rain,Dry,Daylight,33.754726,-84.416624
12/8/18 3:35,Atlanta Police Department,Fulton,Atlanta,Howell Mill Rd Nw   10Th St,10Th St and Howell Mill Rd Nw   10Th St,Unknown,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Hit & Run"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,0,0,1,,,Rain,Wet,Dark-Lighted,33.781566,-84.411145
12/26/18 16:16,Atlanta Police Department,Fulton,Atlanta,2621 Donald Lee Hollowell Pkwy,,Unknown,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,0,0,1,,,Clear,Dry,Daylight,33.775821,-84.472805
11/30/18 22:00,Atlanta Police Department,Fulton,Atlanta,123 Marietta St,,Unknown,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian""]",0,0,0,0,1,,,Cloudy,Dry,Dark-Lighted,33.757651,-84.393276
3/7/18 18:29,Atlanta Police Department,Fulton,Atlanta,Peachtree Street  Walton St,Walton St and Peachtree Street  Walton St,Unknown,Rear End,,"[""Intersection Related"",""Hit & Run"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,0,0,1,"[""Improper Backing"",""No Contributing Factors""]",,Clear,(None),Daylight,33.754971,-84.389268
8/25/18 11:00,Atlanta Police Department,Fulton,Atlanta,Peachtree Rd Ne   Lakeview Ave,Lakeview Ave and Peachtree Rd Ne   Lakeview Ave,Unknown,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian"",""Improper Occupant Protection""]",0,0,0,0,1,Failure to Yield,,Clear,Dry,Daylight,33.825086,-84.387452
1/29/18 15:23,Atlanta Police Department,Fulton,Atlanta,John Portman Blvd,Peachtree St and John Portman Blvd,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Hit & Run"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,0,0,1,No Contributing Factors,,Clear,Dry,Daylight,33.760975,-84.387562
10/24/18 15:20,Atlanta Police Department,Fulton,Atlanta,Ave Se   Cherokee Ave,Cherokee Ave and Ave Se   Cherokee Ave,(O) No Injury,Head On,,"[""Intersection Related"",""Older Driver (65+)"",""Pedestrian""]",0,0,0,0,1,,,Clear,Dry,Daylight,33.736588,-84.373649
7/13/18 10:31,Atlanta Police Department,Fulton,Atlanta,Mitchell St Sw   Central Ave,Central Ave and Mitchell St Sw   Central Ave,Unknown,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian""]",0,0,0,0,1,"[""Failure to Yield"",""No Contributing Factors""]",,Cloudy,Dry,Daylight,33.749644,-84.390658
4/1/18 19:20,Atlanta Police Department,Fulton,Atlanta,Peachtree St Ne   N Ave,N Ave and Peachtree St Ne   N Ave,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,0,0,1,Disregard Police - Traffic Control,,Clear,Dry,Daylight,33.771287,-84.384993
1/24/18 18:30,Atlanta Police Department,Fulton,Atlanta,Colonial Homes Dr,Peachtree Rd and Colonial Homes Dr,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,0,0,1,No Contributing Factors,,Clear,Dry,Dark-Lighted,33.813779,-84.392262
9/14/18 20:58,Atlanta Police Department,Fulton,Atlanta,1585 Moreland Ave Se S R 42,,(K) Fatal Injury,Not a Collision with Motor Vehicle,,"[""Hit & Run"",""Pedestrian"",""Distracted Driver (Suspected)""]",1,0,0,0,1,"[""No Contributing Factors"",""Other""]",,Clear,Dry,Dark-Lighted,33.711352,-84.34954
12/3/18 17:35,Atlanta Police Department,Fulton,Atlanta,Anderson Ave,Penelope Rd and Anderson Ave,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,0,0,1,,,Clear,Dry,Daylight,33.753826,-84.446045
6/5/18 1:39,Atlanta Police Department,Fulton,Atlanta,I 7585,I 7585 and Fulton St Rp,(K) Fatal Injury,Not a Collision with Motor Vehicle,,"[""Roadway Departure"",""Pedestrian"",""Distracted Driver (Suspected)"",""Older Driver (55-64)""]",1,0,1,0,3,No Contributing Factors,,Clear,Dry,Dark-Lighted,33.74253,-84.391945
1/12/18 19:30,Atlanta Police Department,Fulton,Atlanta,I 20,I 20 and Mcdaniel St,(K) Fatal Injury,Not a Collision with Motor Vehicle,,"[""Roadway Departure"",""Older Driver (65+)"",""Pedestrian"",""Distracted Driver (Suspected)""]",1,0,0,0,3,"[""No Contributing Factors"",""Other""]",,Cloudy,Wet,Dark-Lighted,33.743156,-84.402941
9/26/18 18:29,Atlanta Police Department,Fulton,Atlanta,Palisades Rd Ne   Peachtree Rd,Peachtree Rd and Palisades Rd Ne   Peachtree Rd,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian""]",0,0,0,0,1,"[""Failure to Yield"",""No Contributing Factors""]",,Rain,Wet,Daylight,33.804797,-84.393628
3/29/18 17:19,Atlanta Police Department,Fulton,Atlanta,2323 Piedmont Rd,,Unknown,Not a Collision with Motor Vehicle,,"[""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,0,0,1,Other,,Cloudy,Dry,Daylight,33.818753,-84.36717
9/15/18 10:40,Atlanta Police Department,Fulton,Atlanta,980 Ponce De Leon Ave Ne Library - Ponce,,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Distracted Driver (Confirmed)"",""Pedestrian"",""Older Driver (55-64)""]",0,0,0,0,1,"[""Failure to Yield"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.773824,-84.355596
1/20/18 20:00,Atlanta Police Department,Fulton,Atlanta,,and Rugby St,(O) No Injury,Sideswipe-Opposite Direction,,"[""Intersection Related"",""Pedestrian"",""Impaired (Suspected)""]",0,0,0,0,1,Under the Influence (U.I.),,Clear,Dry,Dark-Lighted,33.766707,-84.35308
